time,x,y,rho,mu,mv,mw
9100 , -9.96094 , -0.820312 , 1.42638e-11 , -1.96463e-14 , 2.38562e-13 , 0
9100 , -9.96094 , -0.742188 , 1.47058e-11 , -3.92994e-14 , 5.27439e-13 , 0
9100 , -9.96094 , -0.664062 , 1.51153e-11 , -5.35203e-14 , 8.02804e-13 , 0
9100 , -9.96094 , -0.585938 , 1.54889e-11 , -6.23678e-14 , 1.06025e-12 , 0
9100 , -9.96094 , -0.507812 , 1.58233e-11 , -6.60515e-14 , 1.29563e-12 , 0
9100 , -9.96094 , -0.429688 , 1.61157e-11 , -6.49256e-14 , 1.50509e-12 , 0
9100 , -9.96094 , -0.351562 , 1.63635e-11 , -5.94784e-14 , 1.68522e-12 , 0
9100 , -9.96094 , -0.273438 , 1.65645e-11 , -5.03188e-14 , 1.83304e-12 , 0
9100 , -9.96094 , -0.195312 , 1.67168e-11 , -3.8159e-14 , 1.94611e-12 , 0
9100 , -9.96094 , -0.117188 , 1.68192e-11 , -2.37947e-14 , 2.02255e-12 , 0
9100 , -9.96094 , -0.0390625 , 1.68706e-11 , -8.08272e-15 , 2.06109e-12 , 0
9100 , -9.96094 , 0.0390625 , 1.68706e-11 , 8.08272e-15 , 2.06109e-12 , 0
9100 , -9.96094 , 0.117188 , 1.68192e-11 , 2.37947e-14 , 2.02255e-12 , 0
9100 , -9.96094 , 0.195312 , 1.67168e-11 , 3.8159e-14 , 1.94611e-12 , 0
9100 , -9.96094 , 0.273438 , 1.65645e-11 , 5.03188e-14 , 1.83304e-12 , 0
9100 , -9.96094 , 0.351562 , 1.63635e-11 , 5.94784e-14 , 1.68522e-12 , 0
9100 , -9.96094 , 0.429688 , 1.61157e-11 , 6.49256e-14 , 1.50509e-12 , 0
9100 , -9.96094 , 0.507812 , 1.58233e-11 , 6.60515e-14 , 1.29563e-12 , 0
9100 , -9.96094 , 0.585938 , 1.54889e-11 , 6.23678e-14 , 1.06025e-12 , 0
9100 , -9.96094 , 0.664062 , 1.51153e-11 , 5.35203e-14 , 8.02804e-13 , 0
9100 , -9.96094 , 0.742188 , 1.47058e-11 , 3.92994e-14 , 5.27439e-13 , 0
9100 , -9.96094 , 0.820312 , 1.42638e-11 , 1.96463e-14 , 2.38562e-13 , 0
9100 , -9.96094 , 0.898438 , 1.37929e-11 , -5.34522e-15 , -5.92622e-14 , 0
9100 , -9.96094 , 0.976562 , 1.32969e-11 , -3.54304e-14 , -3.6139e-13 , 0
9100 , -9.96094 , 1.05469 , 1.27797e-11 , -7.02203e-14 , -6.63192e-13 , 0
9100 , -9.96094 , 1.13281 , 1.22452e-11 , -1.09192e-13 , -9.60136e-13 , 0
9100 , -9.96094 , 1.21094 , 1.16973e-11 , -1.51702e-13 , -1.24787e-12 , 0
9100 , -9.96094 , 1.28906 , 1.11399e-11 , -1.97005e-13 , -1.52231e-12 , 0
9100 , -9.96094 , 1.36719 , 1.05767e-11 , -2.44272e-13 , -1.7797e-12 , 0
9100 , -9.96094 , 1.44531 , 1.00114e-11 , -2.92616e-13 , -2.01667e-12 , 0
9100 , -9.96094 , 1.52344 , 9.44737e-12 , -3.4111e-13 , -2.23034e-12 , 0
9100 , -9.96094 , 1.60156 , 8.888e-12 , -3.8882e-13 , -2.41827e-12 , 0
9100 , -9.96094 , 1.67969 , 8.33626e-12 , -4.34823e-13 , -2.5786e-12 , 0
9100 , -9.96094 , 1.75781 , 7.79495e-12 , -4.78235e-13 , -2.71e-12 , 0
9100 , -9.96094 , 1.83594 , 7.26658e-12 , -5.18231e-13 , -2.81168e-12 , 0
9100 , -9.96094 , 1.91406 , 6.75338e-12 , -5.54069e-13 , -2.88342e-12 , 0
9100 , -9.96094 , 1.99219 , 6.2573e-12 , -5.85107e-13 , -2.92554e-12 , 0
9100 , -9.96094 , 2.07031 , 5.78e-12 , -6.10817e-13 , -2.93884e-12 , 0
9100 , -9.96094 , 2.14844 , 5.32284e-12 , -6.30795e-13 , -2.9246e-12 , 0
9100 , -9.96094 , 2.22656 , 4.88689e-12 , -6.44773e-13 , -2.88451e-12 , 0
9100 , -9.96094 , 2.30469 , 4.47299e-12 , -6.52619e-13 , -2.82064e-12 , 0
9100 , -9.96094 , 2.38281 , 4.08166e-12 , -6.54334e-13 , -2.73533e-12 , 0
9100 , -9.96094 , 2.46094 , 3.71322e-12 , -6.50052e-13 , -2.63116e-12 , 0
9100 , -9.96094 , 2.53906 , 3.36774e-12 , -6.40032e-13 , -2.5109e-12 , 0
9100 , -9.96094 , 2.61719 , 3.0451e-12 , -6.2464e-13 , -2.37736e-12 , 0
9100 , -9.96094 , 2.69531 , 2.74498e-12 , -6.04342e-13 , -2.23344e-12 , 0
9100 , -9.96094 , 2.77344 , 2.4669e-12 , -5.79683e-13 , -2.08196e-12 , 0
9100 , -9.96094 , 2.85156 , 2.21024e-12 , -5.5127e-13 , -1.92567e-12 , 0
9100 , -9.96094 , 2.92969 , 1.97424e-12 , -5.19754e-13 , -1.76716e-12 , 0
9100 , -9.96094 , 3.00781 , 1.75807e-12 , -4.85811e-13 , -1.60885e-12 , 0
9100 , -9.96094 , 3.08594 , 1.5608e-12 , -4.50121e-13 , -1.45292e-12 , 0
9100 , -9.96094 , 3.16406 , 1.38144e-12 , -4.13352e-13 , -1.30129e-12 , 0
9100 , -9.96094 , 3.24219 , 1.21897e-12 , -3.76146e-13 , -1.15563e-12 , 0
9100 , -9.96094 , 3.32031 , 1.07233e-12 , -3.391e-13 , -1.0173e-12 , 0
9100 , -9.96094 , 3.39844 , 9.40454e-13 , -3.02758e-13 , -8.87395e-13 , 0
9100 , -9.96094 , 3.47656 , 8.22284e-13 , -2.67601e-13 , -7.66721e-13 , 0
9100 , -9.96094 , 3.55469 , 7.16771e-13 , -2.34038e-13 , -6.5582e-13 , 0
9100 , -9.96094 , 3.63281 , 6.22894e-13 , -2.02406e-13 , -5.54985e-13 , 0
9100 , -9.96094 , 3.71094 , 5.39662e-13 , -1.72967e-13 , -4.64281e-13 , 0
9100 , -9.96094 , 3.78906 , 4.66127e-13 , -1.45908e-13 , -3.83572e-13 , 0
9100 , -9.96094 , 3.86719 , 4.01386e-13 , -1.21344e-13 , -3.12552e-13 , 0
9100 , -9.96094 , 3.94531 , 3.44583e-13 , -9.93251e-14 , -2.50771e-13 , 0
9100 , -9.96094 , 4.02344 , 2.94917e-13 , -7.98424e-14 , -1.97668e-13 , 0
9100 , -9.96094 , 4.10156 , 2.51641e-13 , -6.28341e-14 , -1.52597e-13 , 0
9100 , -9.96094 , 4.17969 , 2.14061e-13 , -4.81945e-14 , -1.14856e-13 , 0
9100 , -9.96094 , 4.25781 , 1.81538e-13 , -3.57829e-14 , -8.37124e-14 , 0
9100 , -9.96094 , 4.33594 , 1.53487e-13 , -2.54319e-14 , -5.84247e-14 , 0
9100 , -9.96094 , 4.41406 , 1.29376e-13 , -1.69554e-14 , -3.82621e-14 , 0
9100 , -9.96094 , 4.49219 , 1.08719e-13 , -1.01563e-14 , -2.25205e-14 , 0
9100 , -9.96094 , 4.57031 , 9.10827e-14 , -4.83388e-15 , -1.05354e-14 , 0
9100 , -9.96094 , 4.64844 , 7.60746e-14 , -7.89232e-16 , -1.69121e-15 , 0
9100 , -9.96094 , 4.72656 , 6.33458e-14 , 2.16938e-15 , 4.57183e-15 , 0
9100 , -9.96094 , 4.80469 , 5.25861e-14 , 4.2226e-15 , 8.75416e-15 , 0
9100 , -9.96094 , 4.88281 , 4.3521e-14 , 5.53695e-15 , 1.12954e-14 , 0
9100 , -9.96094 , 4.96094 , 3.59088e-14 , 6.26278e-15 , 1.25749e-14 , 0
9100 , -9.96094 , 5.03906 , 2.95378e-14 , 6.5331e-15 , 1.29143e-14 , 0
9100 , -9.96094 , 5.11719 , 2.42231e-14 , 6.46317e-15 , 1.2581e-14 , 0
9100 , -9.96094 , 5.19531 , 1.98041e-14 , 6.15072e-15 , 1.17927e-14 , 0
9100 , -9.96094 , 5.27344 , 1.6142e-14 , 5.67679e-15 , 1.07228e-14 , 0
9100 , -9.96094 , 5.35156 , 1.31169e-14 , 5.10685e-15 , 9.50545e-15 , 0
9100 , -9.96094 , 5.42969 , 1.06263e-14 , 4.49232e-15 , 8.2413e-15 , 0
9100 , -9.96094 , 5.50781 , 8.58235e-15 , 3.87216e-15 , 7.00284e-15 , 0
9100 , -9.96094 , 5.58594 , 6.91044e-15 , 3.27463e-15 , 5.83937e-15 , 0
9100 , -9.96094 , 5.66406 , 5.54727e-15 , 2.71898e-15 , 4.78166e-15 , 0
9100 , -9.96094 , 5.74219 , 4.43944e-15 , 2.21711e-15 , 3.84601e-15 , 0
9100 , -9.96094 , 5.82031 , 3.54202e-15 , 1.77507e-15 , 3.03787e-15 , 0
9100 , -9.96094 , 5.89844 , 2.8174e-15 , 1.39444e-15 , 2.35485e-15 , 0
9100 , -9.96094 , 5.97656 , 2.2342e-15 , 1.07355e-15 , 1.78925e-15 , 0
9100 , -9.96094 , 6.05469 , 1.76632e-15 , 8.08458e-16 , 1.33004e-15 , 0
9100 , -9.96094 , 6.13281 , 1.39217e-15 , 5.93835e-16 , 9.64509e-16 , 0
9100 , -9.96094 , 6.21094 , 1.09392e-15 , 4.23595e-16 , 6.79351e-16 , 0
9100 , -9.96094 , 6.28906 , 8.56955e-16 , 2.91426e-16 , 4.61575e-16 , 0
9100 , -9.96094 , 6.36719 , 6.69274e-16 , 1.91161e-16 , 2.99055e-16 , 0
9100 , -9.96094 , 6.44531 , 5.21104e-16 , 1.17038e-16 , 1.80878e-16 , 0
9100 , -9.96094 , 6.52344 , 4.04501e-16 , 6.38628e-17 , 9.75151e-17 , 0
9100 , -9.96094 , 6.60156 , 3.13032e-16 , 2.7088e-17 , 4.08725e-17 , 0
9100 , -9.96094 , 6.67969 , 2.41509e-16 , 2.84413e-18 , 4.24125e-18 , 0
9100 , -9.96094 , 6.75781 , 1.8576e-16 , -1.20809e-17 , -1.78071e-17 , 0
9100 , -9.96094 , 6.83594 , 1.42444e-16 , -2.02874e-17 , -2.95616e-17 , 0
9100 , -9.96094 , 6.91406 , 1.08896e-16 , -2.38287e-17 , -3.43295e-17 , 0
9100 , -9.96094 , 6.99219 , 8.29959e-17 , -2.42842e-17 , -3.45949e-17 , 0
9100 , -9.96094 , 7.07031 , 6.30629e-17 , -2.28348e-17 , -3.21706e-17 , 0
9100 , -9.96094 , 7.14844 , 4.77712e-17 , -2.03351e-17 , -2.83358e-17 , 0
9100 , -9.96094 , 7.22656 , 3.60772e-17 , -1.73802e-17 , -2.39564e-17 , 0
9100 , -9.96094 , 7.30469 , 2.71628e-17 , -1.43641e-17 , -1.95874e-17 , 0
9100 , -9.96094 , 7.38281 , 2.03887e-17 , -1.15302e-17 , -1.55566e-17 , 0
9100 , -9.96094 , 7.46094 , 1.52574e-17 , -9.01213e-18 , -1.20319e-17 , 0
9100 , -9.96094 , 7.53906 , 1.13827e-17 , -6.86743e-18 , -9.07354e-18 , 0
9100 , -9.96094 , 7.61719 , 8.46615e-18 , -5.103e-18 , -6.67315e-18 , 0
9100 , -9.96094 , 7.69531 , 6.2777e-18 , -3.69475e-18 , -4.78255e-18 , 0
9100 , -9.96094 , 7.77344 , 4.64077e-18 , -2.60166e-18 , -3.33379e-18 , 0
9100 , -9.96094 , 7.85156 , 3.42022e-18 , -1.77564e-18 , -2.25268e-18 , 0
9100 , -9.96094 , 7.92969 , 2.513e-18 , -1.16797e-18 , -1.46716e-18 , 0
9100 , -9.96094 , 8.00781 , 1.84079e-18 , -7.3333e-19 , -9.1219e-19 , 0
9100 , -9.96094 , 8.08594 , 1.34429e-18 , -4.31836e-19 , -5.31972e-19 , 0
9100 , -9.96094 , 8.16406 , 9.78713e-19 , -2.29948e-19 , -2.80558e-19 , 0
9100 , -9.96094 , 8.24219 , 7.10383e-19 , -1.00453e-19 , -1.21401e-19 , 0
9100 , -9.96094 , 8.32031 , 5.14049e-19 , -2.19865e-20 , -2.63219e-20 , 0
9100 , -9.96094 , 8.39844 , 3.70843e-19 , 2.1725e-20 , 2.57669e-20 , 0
9100 , -9.96094 , 8.47656 , 2.66717e-19 , 4.27054e-20 , 5.01838e-20 , 0
9100 , -9.96094 , 8.55469 , 1.91244e-19 , 4.95675e-20 , 5.77156e-20 , 0
9100 , -9.96094 , 8.63281 , 1.36709e-19 , 4.82751e-20 , 5.5702e-20 , 0
9100 , -9.96094 , 8.71094 , 9.74276e-20 , 4.27999e-20 , 4.89416e-20 , 0
9100 , -9.96094 , 8.78906 , 6.92216e-20 , 3.56634e-20 , 4.04185e-20 , 0
9100 , -9.96094 , 8.86719 , 4.90316e-20 , 2.83663e-20 , 3.18652e-20 , 0
9100 , -9.96094 , 8.94531 , 3.46246e-20 , 2.17177e-20 , 2.41834e-20 , 0
9100 , -9.96094 , 9.02344 , 2.43763e-20 , 1.60789e-20 , 1.77494e-20 , 0
9100 , -9.96094 , 9.10156 , 1.71091e-20 , 1.1538e-20 , 1.26274e-20 , 0
9100 , -9.96094 , 9.17969 , 1.19718e-20 , 8.02945e-21 , 8.71281e-21 , 0
9100 , -9.96094 , 9.25781 , 8.35153e-21 , 5.41388e-21 , 5.82506e-21 , 0
9100 , -9.96094 , 9.33594 , 5.80829e-21 , 3.52705e-21 , 3.76317e-21 , 0
9100 , -9.96094 , 9.41406 , 4.02721e-21 , 2.20868e-21 , 2.33699e-21 , 0
9100 , -9.96094 , 9.49219 , 2.78379e-21 , 1.31714e-21 , 1.38219e-21 , 0
9100 , -9.96094 , 9.57031 , 1.91841e-21 , 7.35152e-22 , 7.65158e-22 , 0
9100 , -9.96094 , 9.64844 , 1.31802e-21 , 3.70307e-22 , 3.82301e-22 , 0
9100 , -9.96094 , 9.72656 , 9.02771e-22 , 1.52719e-22 , 1.56399e-22 , 0
9100 , -9.96094 , 9.80469 , 6.16463e-22 , 3.14311e-23 , 3.1932e-23 , 0
9100 , -9.96094 , 9.88281 , 4.19674e-22 , -2.94425e-23 , -2.96753e-23 , 0
9100 , -9.96094 , 9.96094 , 2.84833e-22 , -5.43004e-23 , -5.43004e-23 , 0
9100 , -9.88281 , -9.96094 , 4.19674e-22 , 2.96753e-23 , -2.94425e-23 , 0
9100 , -9.88281 , -9.88281 , -nan , -nan , -nan , 0
9100 , -9.88281 , -9.80469 , nan , nan , nan , 0
9100 , -9.88281 , -9.72656 , -nan , -nan , -nan , 0
9100 , -9.88281 , -9.64844 , -nan , -nan , -nan , 0
9100 , -9.88281 , -9.57031 , -nan , nan , -nan , 0
9100 , -9.88281 , -9.49219 , nan , nan , nan , 0
9100 , -9.88281 , -9.41406 , nan , nan , nan , 0
9100 , -9.88281 , -9.33594 , -nan , nan , -nan , 0
9100 , -9.88281 , -9.25781 , nan , nan , nan , 0
9100 , -9.88281 , -9.17969 , -nan , -nan , -nan , 0
9100 , -9.88281 , -9.10156 , -nan , -nan , -nan , 0
9100 , -9.88281 , -9.02344 , -nan , -nan , -nan , 0
9100 , -9.88281 , -8.94531 , -nan , -nan , -nan , 0
9100 , -9.88281 , -8.86719 , -nan , -nan , -nan , 0
9100 , -9.88281 , -8.78906 , -nan , -nan , -nan , 0
9100 , -9.88281 , -8.71094 , -nan , -nan , -nan , 0
9100 , -9.88281 , -8.63281 , -nan , -nan , -nan , 0
9100 , -9.88281 , -8.55469 , -nan , -nan , -nan , 0
9100 , -9.88281 , -8.47656 , -nan , -nan , -nan , 0
9100 , -9.88281 , -8.39844 , -nan , -nan , -nan , 0
9100 , -9.88281 , -8.32031 , -nan , -nan , -nan , 0
9100 , -9.88281 , -8.24219 , -nan , -nan , -nan , 0
9100 , -9.88281 , -8.16406 , -nan , -nan , -nan , 0
9100 , -9.88281 , -8.08594 , -nan , -nan , -nan , 0
9100 , -9.88281 , -8.00781 , -nan , -nan , -nan , 0
9100 , -9.88281 , -7.92969 , -nan , -nan , -nan , 0
